peely02 [['72.4', '4.9'], ['7.17', '8.50']]
oreuki [['21.9', '6.2'], ['5.40', '6.16']]
TH1ts2Ez4m3 [['54.0', '0.0'], ['8.37', '0.00']]
Jarkthedark [['12.1', '0.0'], ['8.50', '0.00']]
HermanRebuar [['20.3', '4.0'], ['8.09', '8.67']]
Pigeon0787 [['18.7', '0.0'], ['6.78', '0.00']]
redalert30 [['8.8', '2.8'], ['6.34', '0.00']]
Redd_Shadow [['10.8', '0.0'], ['8.89', '0.00']]
PhantomRedixIs1 [['36.7', '2.9'], ['7.62', '7.00']]
Scottie-kun [['77.6', '2.2'], ['7.61', '10.00']]
Rogue_5 [['63.3', '8.3'], ['8.17', '9.27']]
Paya16 [['6.7', '0.0'], ['0.00', '0.00']]
AntMania15 [['45.7', '0.0'], ['7.59', '0.00']]
R3ndiDe4dHunter9 [['35.3', '0.0'], ['7.53', '0.00']]
Hotpotatoo [['6.8', '0.0'], ['0.00', '0.00']]
Radek_200 [['69.2', '0.1'], ['7.69', '7.00']]
Emperawr [['13.3', '2.0'], ['7.91', '8.67']]
Dudui69 [['17.2', '0.7'], ['8.71', '0.00']]
hannahviroya [['11.4', '0.1'], ['7.80', '8.00']]
Yumekoshii [['4.2', '0.0'], ['8.36', '0.00']]
xoCryptex [['2.2', '0.0'], ['7.57', '0.00']]
flynger [['11.5', '0.0'], ['7.84', '9.00']]
jcinocente [['39.5', '0.0'], ['8.10', '0.00']]
Shatoshi [['54.1', '12.1'], ['7.68', '8.00']]
Fukar [['17.3', '0.0'], ['8.00', '0.00']]
winein [['63.4', '78.2'], ['8.20', '7.81']]
TheGourmed [['69.5', '3.6'], ['7.35', '9.00']]
Mantux31 [['57.8', '0.0'], ['8.20', '0.00']]
Mj4real98 [['60.1', '0.0'], ['7.80', '0.00']]
UD4343 [['49.7', '0.3'], ['7.56', '9.25']]
Joshuam544 [['16.7', '0.0'], ['0.00', '0.00']]
JebaDoStola [['73.6', '14.3'], ['7.74', '8.32']]
Tiago_brandao [['39.4', '8.1'], ['7.20', '7.63']]
SnamaKim [['54.9', '4.7'], ['7.59', '9.00']]
BanLibal [['87.1', '25.6'], ['7.38', '8.62']]
Groenboys [['40.2', '15.5'], ['6.52', '7.52']]
Quaxk [['78.3', '29.3'], ['1.00', '0.00']]
Dombczak [['70.6', '0.0'], ['8.36', '0.00']]
Kovvi666 [['31.0', '0.0'], ['9.31', '0.00']]
Hawk__eye [['84.1', '11.6'], ['7.72', '9.33']]
birleyboy8 [['26.8', '1.9'], ['8.73', '9.50']]
Viddukemme [['96.2', '140.3'], ['6.03', '6.14']]
IchiRenGo [['147.9', '2.5'], ['8.46', '8.00']]
El_Simon [['66.0', '0.0'], ['6.91', '0.00']]
RickRickIvan [['143.6', '3.1'], ['7.64', '8.00']]
TheGoodSchmuck [['68.3', '1.4'], ['7.56', '6.67']]
Nefj [['39.0', '11.2'], ['7.55', '7.66']]
AztekTR [['14.0', '0.4'], ['8.28', '0.00']]
Rever_236 [['35.9', '1.8'], ['9.00', '0.00']]
Art1456 [['24.6', '5.5'], ['7.61', '8.89']]
Phantom-Fate [['93.1', '0.0'], ['7.40', '0.00']]
OPBlue [['56.1', '0.4'], ['8.47', '0.00']]
pnieapple [['2.9', '0.0'], ['8.06', '0.00']]
zakiss [['13.8', '0.9'], ['8.69', '9.00']]
FraGino [['41.4', '0.0'], ['7.89', '0.00']]
Arturo1066 [['12.7', '9.1'], ['8.50', '8.75']]
EYKEYCI [['5.4', '0.0'], ['8.39', '0.00']]
Jpier [['27.1', '0.0'], ['8.29', '0.00']]
Meteorx26 [['10.6', '0.0'], ['9.93', '0.00']]
izaackrup [['9.2', '0.0'], ['8.37', '0.00']]
Leashaa_ [['15.8', '0.0'], ['8.22', '0.00']]
pedr0__am [['27.5', '0.0'], ['10.00', '0.00']]
DammmPrincess [['78.5', '18.6'], ['0.00', '9.71']]
Doomsday2l [['48.0', '1.9'], ['7.51', '10.00']]
BloodyQueenAya [['79.8', '0.0'], ['7.99', '0.00']]
pedromsgr [['265.9', '13.5'], ['8.13', '9.33']]
Motoko-shi [['79.5', '25.4'], ['4.51', '4.45']]
Hsilkera [['121.3', '12.3'], ['7.13', '8.44']]
Necrosx [['76.6', '0.8'], ['7.19', '0.00']]
riceric22 [['67.7', '2.1'], ['7.89', '8.50']]
crazy_ace [['86.9', '0.0'], ['7.54', '0.00']]
Mirahen [['156.9', '76.3'], ['5.86', '6.21']]
Mambic [['215.4', '44.2'], ['7.61', '7.39']]
MrCleeeean [['62.8', '0.0'], ['7.94', '0.00']]
TharundaDewmin [['14.7', '0.0'], ['9.82', '0.00']]
jt10333 [['5.0', '0.0'], ['7.89', '0.00']]
HollyMagne [['3.2', '0.0'], ['7.07', '0.00']]
Przestrzen [['29.4', '6.6'], ['7.76', '9.17']]
FuckinMook [['57.3', '14.3'], ['5.82', '7.94']]
iYanYunChan [['36.0', '0.0'], ['7.99', '0.00']]
tam1zal [['45.6', '0.0'], ['7.12', '0.00']]
Impman168 [['60.2', '0.5'], ['7.45', '8.00']]
elsipelsi [['0.9', '0.0'], ['7.50', '0.00']]
mymykh007 [['16.5', '0.0'], ['9.00', '0.00']]
MiistyBabe [['15.5', '0.0'], ['8.97', '0.00']]
Fraaaank [['214.3', '0.0'], ['7.67', '0.00']]
Cupertinoo [['20.7', '1.5'], ['7.92', '9.00']]
369258147 [['5.5', '0.0'], ['8.53', '0.00']]
Sorin-Skkkrrab_2 [['29.3', '0.7'], ['7.74', '9.00']]
KuyaJonas [['94.1', '0.0'], ['6.09', '0.00']]
KaX0 [['20.6', '1.4'], ['8.04', '5.00']]
LoliXSlayer [['64.6', '2.8'], ['7.23', '8.67']]
Kyokusei_Crux [['0.0', '0.0'], ['9.80', '0.00']]
amirhoseinshafie [['7.5', '0.0'], ['9.07', '0.00']]
yousuf_202 [['43.8', '0.0'], ['6.90', '0.00']]
navi2131 [['57.1', '0.0'], ['9.04', '0.00']]
worn-eagle [['1.1', '0.0'], ['9.00', '0.00']]
Elyet_of_Rivia [['145.5', '0.0'], ['6.76', '0.00']]
Demon-king123 [['0.6', '0.0'], ['8.00', '0.00']]
Mel2797 [['13.2', '2.1'], ['8.00', '0.00']]
Fbafroguy [['27.8', '1.5'], ['7.03', '9.00']]
Oiboii00 [['15.6', '0.0'], ['8.73', '0.00']]
RandomRavenclaw [['20.8', '0.0'], ['8.13', '0.00']]
Mari-Yuuki [['7.1', '0.6'], ['7.70', '8.50']]
Kipo2906 [['24.4', '0.0'], ['7.86', '0.00']]
Niggasy [['3.0', '0.0'], ['0.00', '0.00']]
Relvok [['107.8', '17.8'], ['6.86', '6.88']]
Takusan_AC [['91.5', '6.2'], ['6.60', '6.56']]
Lollo94 [['62.5', '44.6'], ['7.12', '7.36']]
Fault_S [['22.5', '0.0'], ['8.33', '9.00']]
boredweeb_012 [['36.6', '0.0'], ['5.43', '0.00']]
moazzmahmd [['2.1', '0.0'], ['10.00', '0.00']]
sippin_bleach [['6.7', '0.4'], ['9.30', '10.00']]
_Sh1n_ [['34.6', '0.0'], ['8.00', '0.00']]
Dot_lul [['51.0', '0.0'], ['7.54', '0.00']]
LycaN612 [['3.8', '0.0'], ['10.00', '0.00']]
